California,"4,103.12"
Texas,"2,709.39"
New York,"2,297.03"
Florida,"1,705.56"
Illinois,"1,137.24"
Pennsylvania,"1,024.21"
Ohio,927.74
Georgia,882.53
Washington,854.68
New Jersey,846.59
North Carolina,839.12
Massachusetts,780.67
Virginia,764.47
Michigan,706.62
Colorado,553.32
Arizona,552.17
Tennessee,549.71
Maryland,542.77
Indiana,527.38
Minnesota,500.85
Wisconsin,451.29
Missouri,451.20
Connecticut,365.72
South Carolina,349.97
Oregon,331.03
Louisiana,327.78
Alabama,321.24
Utah,300.90
Kentucky,293.02
Oklahoma,265.78
Nevada,260.73
Iowa,257.02
Kansas,234.67
Arkansas,188.72
District of Columbia,186.17
Nebraska,185.41
Mississippi,157.49
New Mexico,140.54
Idaho,128.13
New Hampshire,121.19
Hawaii,115.63
West Virginia,107.66
Delaware,103.25
Maine,98.61
Rhode Island,82.49
Montana,76
North Dakota,75.40
South Dakota,75.18
Alaska,69.97
Wyoming,52.95
Vermont,45.71